"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3043]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / PACIFIC OCEAN","1.3 KM NORTH OF R. OZURNAYA, PLATEAU LAVAS","44","44","146","146","SUBAERIAL","","","s C222 [3043]","BASALT [3043]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3043] ","50.2","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70347","","","","","","","","","","","","","","","","","","","","","10052-C222",
"[11076][14714]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / EBEKO / PACIFIC OCEAN","","50.68","50.68","156","156","SUBAERIAL","","","s KY-46/72 [11076]","BASALT [11076] / ANDESITE, BASALTIC [14714]","","","","QUATERNARY [11076]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11076] ","52.98","0.74","","16.3","","","","9.11","8.1","7.5","0.17","","1.4","2.65","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.62","","18.67","68.25","1.66","","","","","","","","","","","","1.56","323.3","9.51","22.06","3.14","14.01","3.5","1.08","3.32","0.59","3.61","0.73","2.11","0.31","2.2","0.33","2.3","0.35","","","","","","","","","6.22","","2.76","1.01","0.513106","","","0.703245","","18.447","","15.511","","38.222","","","","","","","","","","","","","","","10056-KY-46/72",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN","","46.93","46.93","151.95","151.95","SUBAERIAL","","","s 1 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","65.51","0.48","","14.42","","2.04","3.25","","4.23","1.41","0.15","","0.84","3.69","0.02","","3.52","0.39","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101290",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN","","46.93","46.93","151.95","151.95","SUBAERIAL","","","s 2 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","65.73","1.01","","14.52","","6.01","0.5","","4.06","1.24","0.2","","1.1","4.42","0.2","","0.93","0.1","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101291",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN","","46.93","46.93","151.95","151.95","SUBAERIAL","","","s 3 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","66.99","0.97","","13.98","","2.73","2.16","","3.08","1.11","0.15","","0.45","4.99","0.36","","3.62","0.1","","","","","","","","","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101292",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN","","46.93","46.93","151.95","151.95","SUBAERIAL","","","s 4 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","67.08","0.99","","14.11","","1.75","2.98","","3.46","0.97","0.15","","0.85","4.44","0.46","","2.44","0.12","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101293",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN","","46.93","46.93","151.95","151.95","SUBAERIAL","","","s 5 [3052]","RHYODACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","70.19","0.66","","13.84","","0.79","1.67","","3.03","0.67","0.09","","0.78","4.01","0.58","","3.47","0.04","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101294",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / MEDVHIZYA (MEDVHEZIA) / PACIFIC OCEAN","","45.33","45.33","148.87","148.87","SUBAERIAL","","","s 6 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","63.15","0.57","","16.71","","2.31","1.77","","3.97","1.37","0.16","","1.06","3.77","0.21","","4.07","1.56","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101295",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / URUP / BERG / PACIFIC OCEAN","","46.12","46.12","150.18","150.18","SUBAERIAL","","","s 7 [3052]","ANDESITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","61.01","0.55","","18.38","","3.43","2.93","","6.78","2.61","0.1","","0.82","2.55","0.2","","0.66","0.07","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101296",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / EBEKO / PACIFIC OCEAN","","50.68","50.68","156","156","SUBAERIAL","","","s 8 [3052]","ANDESITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","60.82","1.18","","16.98","","2.91","3.68","","4.99","2.5","0.18","","2.16","3.03","0.35","","1.03","0.22","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101297",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / KARPINSKII(KARPINSKY) / PACIFIC OCEAN","","50","50.8","154.5","156","SUBAERIAL","","","s 9 [3052]","RHYODACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","70.46","0.4","","14.34","","0.74","1.27","","2.7","0.62","0.09","","2.09","4.73","","","2.83","0.08","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101298",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN","CALDERA","43.88","43.88","145.53","145.53","SUBAERIAL","","","s 10 [3052]","RHYODACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","70.44","0.82","","14.61","","1.55","1.35","","2.9","0.7","0.12","","0.63","3.91","0.49","","2.75","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101299",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN","CALDERA","43.88","43.88","145.53","145.53","SUBAERIAL","","","s 11 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","66.32","0.52","","16.73","","2.52","2.28","","5.29","1.24","0.11","","0.97","3.4","0.02","","0.65","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101300",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / VETROVOI / PACIFIC OCEAN","","50.9","50.9","156","156","SUBAERIAL","","","s 12 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","65.83","0.91","","14.73","","1.78","2.98","","4.18","1.25","0.1","","0.97","3.62","0.5","","3.57","0.07","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101301",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / VETROVOI / PACIFIC OCEAN","","50.9","50.9","156","156","SUBAERIAL","","","s 13 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","65.99","1.17","","14.46","","0.93","3.09","","4.16","1.48","0.09","","1.2","4.05","0.32","","3.18","0.08","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101302",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / VETROVOI / PACIFIC OCEAN","","50.9","50.9","156","156","SUBAERIAL","","","s 14 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","66.67","1.02","","13.91","","0.7","2.01","","3.68","1.54","0.11","","1.23","4","0.6","","2.97","0.07","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101303",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / PARAMUSHIR / VETROVOI / PACIFIC OCEAN","","50.9","50.9","156","156","SUBAERIAL","","","s 15 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","67.81","0.54","","14.3","","1.6","2.34","","4.49","1.31","0.12","","1.33","3.43","","","2.58","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101304",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / PACIFIC OCEAN","ROCK BAY IN THE SOUTH OF THE ISLAND","44.5","45.5","147","149","SUBAERIAL","","","s 16 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","65.52","0.92","","15.61","","3.29","1.35","","3.92","1.53","0.14","","1.06","3.6","0.54","","2.67","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101305",
"[3052]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / PACIFIC OCEAN","ROCK BAY IN THE SOUTH OF THE ISLAND","44.5","45.5","147","149","SUBAERIAL","","","s 17 [3052]","DACITE [3052]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3052] ","68","0.84","","15.29","","1.75","2.15","","4.11","1.38","0.15","","1.23","3.65","0.4","","1.48","0.19","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101306",
