"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s MOC8 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000005951","242603",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC13 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000068384","242604",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC5 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000084805","242605",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC21 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00011591","242606",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC11 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00014659","242607",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC14 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00015838","242608",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC3 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00020761","242609",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC12 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00021253","242610",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC7 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00025434","242611",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC2 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00026197","242612",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC1 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00026335","242613",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC9 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00028188","242614",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC19 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00033587","242615",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s MOC17 [3139]","DOLERITE [3139]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000362","242616",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s MOC9 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00003482","242617",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC17 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005685","242618",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TIMOR / OECUSSE / TIMOR SEA / INDIAN OCEAN","","-9.1","-9.3","124.3","124.5","SUBAERIAL","","","s OC8 [3139]","BASALT [3139]","","","","","","","","SLIGHTLY PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0065482","242619",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN","","-3.61","-3.61","128.11","128.11","SUBAERIAL","","","s 1-3-47 [3139]","DACITE [3139]","","","","","","","","PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001983","242620",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN","","-3.61","-3.61","128.11","128.11","SUBAERIAL","","","s 1-3-49 [3139]","DACITE [3139]","","","","","","","","PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0002909","242621",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN","","-3.61","-3.61","128.11","128.11","SUBAERIAL","","","s 1-3-50 [3139]","DACITE [3139]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001988","242622",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN","","-3.61","-3.61","128.11","128.11","SUBAERIAL","","","s AMB1 [3139]","DACITE [3139]","","","","","","","","PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00026516","242623",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / AMBON / BANDA SEA / PACIFIC OCEAN","","-3.61","-3.61","128.11","128.11","SUBAERIAL","","","s AMB1 [3139]","DACITE [3139]","","","","","","","","PORPHYRITIC [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00025339","242624",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / KELANG / BANDA SEA / PACIFIC OCEAN","","-3.17","-3.17","127.72","127.72","SUBAERIAL","","","s 1-3-54 [3139]","BASALT [3139]","","","","","","","","VESICULAR [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00009733","242625",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / KELANG / BANDA SEA / PACIFIC OCEAN","","-3.17","-3.17","127.72","127.72","SUBAERIAL","","","s 1-3-56 [3139]","BASALT [3139]","","","","","","","","VESICULAR [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001558","242626",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / KELANG / BANDA SEA / PACIFIC OCEAN","","-3.17","-3.17","127.72","127.72","SUBAERIAL","","","s 1-3-57 [3139]","BASALT [3139]","","","","","","","","VESICULAR [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00009242","242627",
"[3139]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / KELANG / BANDA SEA / PACIFIC OCEAN","","-3.17","-3.17","127.72","127.72","SUBAERIAL","","","s 1-3-57 [3139]","BASALT [3139]","","","","","","","","VESICULAR [3139] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3139] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00009396","242628",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s SS86 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","62.1","0.83","","15.89","","2.46","6.07","","4.72","3.09","0.21","","0.54","3.6","0.1","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243137",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s SS88 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","64.44","0.77","","15.45","","2.15","6.07","","4.23","1.64","0.22","","0.54","4.08","0.16","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243138",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s MI98 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","63.6","1.2","","15.22","","5.8","1.9","","4.9","1.7","0.14","","0.51","4","0.1","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243139",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s MI103 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","66.7","1","","14.6","","2.4","3.9","","4.1","1.76","0.16","","0.65","4.15","0.16","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243140",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s FX12 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","66.1","1.04","","13.28","","1.02","5.1","","3.72","1.55","0.12","","0.65","4","0.1","","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243141",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s GV1 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","64.62","1.11","","14.76","","0","7.07","","5.01","1.85","0","","0.77","4.32","0.29","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243142",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s G2 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","64.55","0.99","","14.65","","","","7.42","4.93","1.85","","","0.8","4.78","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243143",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s G3 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","65.12","0.94","","15.03","","","","6.28","4.89","1.62","","","0.84","4.36","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243144",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s G5 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","67.43","0.95","","14.29","","","","5.76","4.12","1.32","","","0.89","4.46","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243145",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s G6 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","67.81","0.92","","14.53","","","","5.63","4.05","1.26","","","0.8","4.23","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243146",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s G7 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","66.31","0.95","","14.64","","","","6.24","4.1","1.28","","","0.89","4.9","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243147",
"[8599]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA API / BANDA API / PACIFIC OCEAN","","-5","-7","129","132","SUBAERIAL","","","s G10 [8599]","THOLEIITE [8599]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8599] ","63.84","0.96","","14.7","","","","2.25","4.94","1.68","","","0.83","5.05","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243148",
